date,portfolio_value
2017-05-12,111145.59794619751
2017-05-15,111428.92057040405
2017-05-16,111712.74359133911
2017-05-17,111454.47019198608
2017-05-18,109919.69465640259
2017-05-19,109575.78871157837
2017-05-22,109651.40145770262
2017-05-23,109630.59179583739
2017-05-24,108550.17240039061
2017-05-25,109907.96823779296
2017-05-26,111351.39118853759
2017-05-29,111058.32670489501
2017-05-30,111101.21827593993
2017-05-31,111131.14184922026
2017-06-01,111347.49879044341
2017-06-02,111669.24468582915
2017-06-05,113297.23939865874
2017-06-06,112732.48608750151
2017-06-07,112988.10851639556
2017-06-08,114028.21394699859
2017-06-09,114179.8943135147
2017-06-12,113176.28879898833
2017-06-13,113310.69713944243
2017-06-14,113704.35526627349
2017-06-15,113339.1023136978
2017-06-16,113787.2104374771
2017-06-19,114338.0417744522
2017-06-20,114820.67991226958
2017-06-21,114674.36777085112
2017-06-22,113918.80792588042
2017-06-23,113000.50285454559
2017-06-27,112212.64023705291
2017-06-28,112375.3417064743
2017-06-29,112931.74743004607
2017-06-30,113615.9690639572
2017-07-03,114283.1049511032
2017-07-04,114591.80716057586
2017-07-05,114642.48275704193
2017-07-06,114740.48081154632
2017-07-07,114637.30168099212
2017-07-10,114888.09603829193
2017-07-11,114775.90277046966
2017-07-12,114827.4445642929
2017-07-13,115235.89697212982
2017-07-14,114918.72264046478
2017-07-17,114741.34582466888
2017-07-18,113287.57894844818
2017-07-19,113868.28604836273
2017-07-20,113733.80865425873
2017-07-21,113894.64659719085
2017-07-24,113801.05429677581
2017-07-25,113838.41487722014
2017-07-26,114508.29939107512
2017-07-27,114268.32107381438
2017-07-28,115179.37557057952
2017-07-31,115625.47366318511
2017-08-01,115005.72331223296
2017-08-02,115013.26972946929
2017-08-03,114766.91355355071
2017-08-04,115694.69846566008
2017-08-07,116261.16867287444
2017-08-08,116157.29765541838
2017-08-09,115868.35473854827
2017-08-10,114588.69095833586
2017-08-11,114582.6589530258
2017-08-14,116071.04543367766
2017-08-16,116354.75503603362
2017-08-17,116629.62217775725
2017-08-18,116646.05377260588
2017-08-21,116060.79974428557
2017-08-22,115813.02429262541
2017-08-23,116208.05156008147
2017-08-24,116291.20681749724
2017-08-28,117805.05776464079
2017-08-29,117594.00915776823
2017-08-30,119282.3724771652
2017-08-31,119427.16353093718
2017-09-01,119546.42625676726
2017-09-04,118831.50444280241
2017-09-05,120172.79679222868
2017-09-06,120325.3686153488
2017-09-07,120491.19715196989
2017-09-08,121029.95399553678
2017-09-11,122490.78930742643
2017-09-12,122436.190305809
2017-09-13,121198.71266756437
2017-09-14,121550.40874300382
2017-09-15,122101.12775240323
2017-09-18,122657.8741742172
2017-09-19,123121.10908327482
2017-09-20,122608.35252199552
2017-09-21,122303.89381227872
2017-09-22,119503.24846468351
2017-09-25,118552.69050386426
2017-09-26,118529.0061624336
2017-09-27,117339.1419046211
2017-09-28,117795.9273355293
2017-09-29,118785.48185583876
2017-10-03,120078.65658423232
2017-10-04,119953.46439978408
2017-10-05,119751.42198035048
2017-10-06,120469.40908667372
2017-10-09,120307.78666540908
2017-10-10,121072.51144031141
2017-10-11,120379.20148852919
2017-10-12,121306.6024305458
2017-10-13,121897.56440564345
2017-10-16,122287.18414136123
2017-10-17,122496.72344800185
2017-10-18,122399.46510144424
2017-10-19,122065.1910230751
2017-10-23,122938.83388223647
2017-10-24,122862.0725449562
2017-10-25,121981.61829080581
2017-10-26,121842.57838907241
2017-10-27,121831.46437540054
2017-10-30,123024.77954568862
2017-10-31,122960.05269327163
2017-11-01,122848.44115152358
2017-11-02,122556.52571573257
2017-11-03,122137.73497476577
2017-11-06,123648.52834024429
2017-11-07,123154.77486124038
2017-11-08,123059.27443753432
2017-11-09,123364.3378072853
2017-11-10,123730.87845669936
2017-11-13,122275.41518460463
2017-11-14,122307.74880276869
2017-11-15,120795.17229520033
2017-11-16,121952.41260586928
2017-11-17,122506.17956988905
2017-11-20,122918.50679278944
2017-11-21,123443.08255267714
2017-11-22,123466.16264606093
2017-11-23,123431.8408381996
2017-11-24,124065.25523639296
2017-11-27,124703.54170489882
2017-11-28,125835.51800886916
2017-11-29,125408.58973662184
2017-11-30,125418.94876829909
2017-12-01,124422.26702086256
2017-12-04,124553.06885115431
2017-12-05,124117.05994781492
2017-12-06,122814.01775726317
2017-12-07,124379.35848602293
2017-12-08,125042.87639678954
2017-12-11,125422.90565071104
2017-12-12,124573.9748950958
2017-12-13,123711.41663703916
2017-12-14,123005.31984118269
2017-12-15,123819.48622683332
2017-12-18,124420.01060656355
2017-12-19,124871.20933524892
2017-12-20,125157.62644759938
2017-12-21,126010.45996276662
2017-12-22,126406.44112197682
2017-12-26,126622.07004730031
2017-12-27,126594.56811706349
2017-12-28,127022.84560958669
2017-12-29,128609.50473205373
2018-01-01,128422.54409972951
2018-01-02,128534.50670806691
2018-01-03,129278.12314025685
2018-01-04,129669.87618819997
2018-01-05,130241.27503005788
2018-01-08,130425.1864108257
2018-01-09,130172.39699737355
2018-01-10,130140.1735819988
2018-01-11,129645.07280151173
2018-01-12,130541.49627105519
2018-01-15,130396.81082717702
2018-01-16,128390.5738238506
2018-01-17,128819.50455276296
2018-01-18,127894.2980212383
2018-01-19,129158.24351684377
2018-01-22,130087.74315444753
2018-01-23,130108.83667175099
2018-01-24,129672.10846511647
2018-01-25,129049.15633956715
2018-01-29,128778.6652371349
2018-01-30,128154.102870985
2018-01-31,128033.08277134511
2018-02-01,127392.54066496083
2018-02-02,124640.4248992748
2018-02-05,124032.53341215322
2018-02-06,122388.08538302037
2018-02-07,123533.35528048131
2018-02-08,124465.31471544834
2018-02-09,123944.53184038731
2018-02-12,124517.0502691898
2018-02-14,124623.96763344761
2018-02-15,124316.18520852085
2018-02-16,123881.30784340855
2018-02-19,123216.45113334843
2018-02-20,122838.83929786869
2018-02-21,122888.59999427982
2018-02-22,122862.8747249622
2018-02-23,123594.0031228809
2018-02-26,123875.97764070316
2018-02-27,123634.92116411014
2018-02-28,123868.02421098514
2018-03-01,123362.65771592899
2018-03-05,122850.00138200565
2018-03-06,122236.76706041141
2018-03-07,121415.2207538013
2018-03-08,121653.31466340824
2018-03-09,121759.61075486941
2018-03-12,121879.63991060061
2018-03-13,121866.15033207889
2018-03-14,121822.55090962406
2018-03-15,122447.10927449222
2018-03-16,121864.41409480473
2018-03-19,121038.84449080464
2018-03-20,121151.05893782612
2018-03-21,121196.70716170307
2018-03-22,121256.47440413471
2018-03-23,120973.62571028706
2018-03-26,121421.88213905903
2018-03-27,122179.17053798481
2018-03-28,121983.81532083699
2018-04-02,122703.04139505574
2018-04-03,122984.89684854695
2018-04-04,122218.15172167013
2018-04-05,123260.38205332754
2018-04-06,124197.97517771719
2018-04-09,124376.32985301016
2018-04-10,124389.5613746166
2018-04-11,125118.86610026358
2018-04-12,125374.58055491446
2018-04-13,125764.25217051504
2018-04-16,125982.3825339794
2018-04-17,126095.75316996573
2018-04-18,126038.72800822256
