symbol,oversold_bounce_rate,overbought_fall_rate,mr_score,strength,num_oversold,num_overbought
TORNTPOWER.NS,0.5422885572139303,0.4884318766066838,0.5153602169103071,Weak/Trending,201,389
CGPOWER.NS,0.4090909090909091,0.42953020134228187,0.4193105552165955,Weak/Trending,198,298
ICICIBANK.NS,0.6103896103896104,0.5065963060686016,0.558492958229106,Moderate Mean Reversion,154,379
ETERNAL.NS,0.5042735042735043,0.5094339622641509,0.5068537332688277,Weak/Trending,117,159
SWIGGY.NS,0.47368421052631576,0.5185185185185185,0.49610136452241715,Weak/Trending,57,27
MAXHEALTH.NS,0.5544554455445545,0.49216300940438873,0.5233092274744716,Weak/Trending,101,319
LICHSGFIN.NS,0.527972027972028,0.4622093023255814,0.49509066514880473,Weak/Trending,286,344
GODFRYPHLP.NS,0.5026737967914439,0.5611940298507463,0.5319339133210951,Moderate Mean Reversion,187,335
KOTAKBANK.NS,0.5,0.5416666666666666,0.5208333333333333,Weak/Trending,66,72
TITAN.NS,0.56,0.4975124378109453,0.5287562189054726,Weak/Trending,175,402
MARUTI.NS,0.49047619047619045,0.5447154471544715,0.517595818815331,Weak/Trending,210,369
HINDALCO.NS,0.5194174757281553,0.5138121546961326,0.5166148152121439,Weak/Trending,206,362
DIVISLAB.NS,0.5978835978835979,0.5137362637362637,0.5558099308099308,Moderate Mean Reversion,189,364
VOLTAS.NS,0.5505050505050505,0.5154061624649859,0.5329556064850183,Moderate Mean Reversion,198,357
PAYTM.NS,0.49586776859504134,0.6178861788617886,0.5568769737284149,Moderate Mean Reversion,121,123
BAJAJHFL.NS,0.45054945054945056,0.6521739130434783,0.5513616817964644,Moderate Mean Reversion,91,23
NTPCGREEN.NS,0.5084745762711864,0.6521739130434783,0.5803242446573323,Strong Mean Reversion,59,23
VEDL.NS,0.5224719101123596,0.4892966360856269,0.5058842730989932,Weak/Trending,178,327
INDHOTEL.NS,0.6293706293706294,0.49291784702549574,0.5611442381980626,Moderate Mean Reversion,143,353
INDUSTOWER.NS,0.5726872246696035,0.5313531353135313,0.5520201799915674,Moderate Mean Reversion,227,303
OIL.NS,0.5699481865284974,0.4700854700854701,0.5200168283069837,Weak/Trending,193,351
MOTILALOFS.NS,0.4551282051282051,0.5278810408921933,0.49150462301019926,Weak/Trending,156,269
TATACOMM.NS,0.45604395604395603,0.5017921146953405,0.4789180353696483,Weak/Trending,182,279
HINDPETRO.NS,0.5,0.5148514851485149,0.5074257425742574,Weak/Trending,266,404
IDFCFIRSTB.NS,0.5511111111111111,0.4728434504792332,0.5119772807951721,Weak/Trending,225,313
NYKAA.NS,0.46825396825396826,0.4496124031007752,0.45893318567737174,Weak/Trending,126,129
RELIANCE.NS,0.5524861878453039,0.46859903381642515,0.5105426108308645,Weak/Trending,181,414
BPCL.NS,0.5509259259259259,0.49216300940438873,0.5215444676651573,Weak/Trending,216,319
LTF.NS,0.5596330275229358,0.5454545454545454,0.5525437864887406,Moderate Mean Reversion,218,319
BHEL.NS,0.5038461538461538,0.48632218844984804,0.49508417114800096,Weak/Trending,260,329
HYUNDAI.NS,0.4883720930232558,0.5454545454545454,0.5169133192389006,Weak/Trending,43,55
INDIANB.NS,0.4774774774774775,0.4525316455696203,0.46500456152354885,Weak/Trending,222,316
IOC.NS,0.559322033898305,0.4650537634408602,0.5121878986695826,Weak/Trending,236,372
COROMANDEL.NS,0.5324074074074074,0.49583333333333335,0.5141203703703704,Weak/Trending,216,480
BAJAJHLDNG.NS,0.5555555555555556,0.5408805031446541,0.5482180293501049,Moderate Mean Reversion,135,318
SBICARD.NS,0.5151515151515151,0.5021834061135371,0.5086674606325261,Weak/Trending,198,229
VMM.NS,0.5714285714285714,0.5581395348837209,0.5647840531561461,Moderate Mean Reversion,35,43
HUDCO.NS,0.4745762711864407,0.5299401197604791,0.5022581954734598,Weak/Trending,236,334
FORTIS.NS,0.5265306122448979,0.5435294117647059,0.5350300120048019,Moderate Mean Reversion,245,425
ADANIPOWER.NS,0.47513812154696133,0.48534201954397393,0.48024007054546763,Weak/Trending,181,307
ACC.NS,0.5107142857142857,0.5176848874598071,0.5141995865870463,Weak/Trending,280,311
CUMMINSIND.NS,0.4954954954954955,0.5036674816625917,0.4995814885790436,Weak/Trending,222,409
JINDALSTEL.NS,0.555045871559633,0.5236686390532544,0.5393572553064437,Moderate Mean Reversion,218,338
ASHOKLEY.NS,0.57,0.5179063360881543,0.5439531680440771,Moderate Mean Reversion,200,363
TIINDIA.NS,0.4539877300613497,0.5,0.47699386503067487,Weak/Trending,163,374
ENRIN.NS,0.3939393939393939,0.5,0.44696969696969696,Weak/Trending,33,14
MUTHOOTFIN.NS,0.5606936416184971,0.5135135135135135,0.5371035775660054,Moderate Mean Reversion,173,407
HINDZINC.NS,0.5755813953488372,0.5,0.5377906976744187,Moderate Mean Reversion,172,268
360ONE.NS,0.46715328467153283,0.548951048951049,0.508052166811291,Weak/Trending,137,286
GMRAIRPORT.NS,0.5625,0.5243619489559165,0.5434309744779582,Moderate Mean Reversion,224,431
JSWENERGY.NS,0.5196078431372549,0.4913294797687861,0.5054686614530205,Weak/Trending,204,346
DIXON.NS,0.48717948717948717,0.4367816091954023,0.4619805481874447,Weak/Trending,195,435
INDIGO.NS,0.5625,0.4947089947089947,0.5286044973544973,Weak/Trending,224,378
M&MFIN.NS,0.5486725663716814,0.49854227405247814,0.5236074202120797,Weak/Trending,226,343
SUZLON.NS,0.45365853658536587,0.4542372881355932,0.45394791236047954,Weak/Trending,205,295
PREMIERENE.NS,0.5283018867924528,0.5882352941176471,0.55826859045505,Moderate Mean Reversion,53,34
WAAREEENER.NS,0.55,0.5686274509803921,0.5593137254901961,Moderate Mean Reversion,40,51
BIOCON.NS,0.5503875968992248,0.5449275362318841,0.5476575665655544,Moderate Mean Reversion,258,345
PATANJALI.NS,0.5483870967741935,0.31736526946107785,0.43287618311763565,Weak/Trending,124,167
POWERINDIA.NS,0.5625,0.49696969696969695,0.5297348484848485,Weak/Trending,80,330
