symbol,autocorr_1d,autocorr_5d,autocorr_20d,correlation,p_value,strength
BLUESTARCO.NS,0.058853917150620556,-0.02805282692015591,-0.01682890138164358,0.058853917150620515,0.005159530127116218,Moderate Momentum
BANKBARODA.NS,-0.021579746162960482,0.02731141050908064,0.02004543659057848,-0.021579746162960458,0.30526216721068294,Weak/Random
PFC.NS,-0.04264669052584995,0.042764952804783596,0.0021267973107349774,-0.042646690525849934,0.042687770620043426,Weak/Random
TATASTEEL.NS,-0.02616256928458917,0.02427719282776601,0.028737662605526418,-0.026162569284589206,0.213866486101089,Weak/Random
PIDILITIND.NS,-0.03474406661704116,0.048652001977856435,0.020122275183180688,-0.03474406661704116,0.09875224864063467,Weak/Random
NTPC.NS,-0.04423352262364599,0.021992913937066715,0.03390553699537238,-0.044233522623645966,0.0355324598819487,Weak/Random
ADANIGREEN.NS,0.24104934172397127,0.044186982365588316,0.013972068573366622,0.24104934172397127,1.7570804363348272e-26,Strong Momentum
IRCTC.NS,0.1554540171767219,0.03641530423340627,0.008063460120765385,0.15545401717672191,5.497444253799429e-10,Strong Momentum
NESTLEIND.NS,-0.03999452320603918,0.025420239349971244,0.03241579625258384,-0.03999452320603918,0.057408931100384926,Weak/Random
NHPC.NS,-0.07869239571612924,0.03618903307054863,0.006177136561034947,-0.07869239571612917,0.00018118386723662032,Mean Reverting
FEDERALBNK.NS,0.01757890345631646,0.04529144341054833,0.0010924740607191582,0.01757890345631645,0.4036565044500959,Weak/Random
IREDA.NS,0.19055617802485478,-0.022778540863650033,0.011883979002982098,0.19055617802485472,6.535474506553754e-06,Strong Momentum
PNB.NS,0.011107522370147576,0.033236881829841164,-0.0012277148917978352,0.011107522370147617,0.5977403216886884,Weak/Random
ATGL.NS,0.2169635861372075,0.052794879034187676,0.010630641782664,0.21696358613720754,1.1915366143478034e-20,Strong Momentum
ALKEM.NS,0.03084011443722825,0.00906207792902523,-0.029628241741310537,0.030840114437228235,0.14291807597626566,Weak/Random
DRREDDY.NS,0.03466137939331645,-0.0020988613754110556,-0.02945721106295481,0.034661379393316406,0.09955771155636998,Weak/Random
HDFCBANK.NS,0.030708529609604584,0.034899692192126575,-0.008028235035780968,0.03070852960960457,0.14454306969516492,Weak/Random
NMDC.NS,-0.007539596047432728,-0.014352374300132637,0.03442530542516376,-0.007539596047432731,0.7202267620069717,Weak/Random
SBIN.NS,-0.021762614919471342,0.06998056905168572,-0.042223105415791225,-0.021762614919471346,0.30118107832172103,Weak/Random
ABCAPITAL.NS,0.060121405662472864,0.05345868343523516,-0.01322900611549659,0.060121405662472864,0.0059348547720308445,Moderate Momentum
BHARATFORG.NS,-0.003273331737507034,-0.005580623659585876,0.030878920605767593,-0.0032733317375070454,0.8764603952053718,Weak/Random
TORNTPOWER.NS,-0.05659010114489494,0.04191229346925818,0.019714333289648982,-0.05659010114489498,0.00713803756026783,Mean Reverting
CGPOWER.NS,0.2140607372664372,0.008590605141686872,-0.02199409663668773,0.21406073726643723,7.988242453000072e-25,Strong Momentum
ICICIBANK.NS,-0.04111430232138325,0.07950906636932209,0.002644120318195297,-0.041114302321383245,0.0507173372428094,Weak/Random
ETERNAL.NS,-0.013037197266510864,-0.003942750357193348,-0.013071787812383997,-0.013037197266510875,0.6643719912544994,Weak/Random
SWIGGY.NS,0.050182799936710064,-0.08964039941055879,-0.029581471695019325,0.050182799936710105,0.3739525183246571,Weak/Random
MAXHEALTH.NS,-0.014864746217513922,-0.009952660312435585,0.02383227477890203,-0.01486474621751393,0.5834750626075279,Weak/Random
LICHSGFIN.NS,-0.013618508287734433,0.017925931003859984,0.0037948250255272022,-0.013618508287734424,0.5177603434907795,Weak/Random
GODFRYPHLP.NS,0.048094758167247224,0.01939574917940972,0.004549209899864858,0.048094758167247204,0.02228681389600574,Weak/Random
KOTAKBANK.NS,-0.019733257723780404,-0.0024001905485275124,0.02712318299016458,-0.019733257723780394,0.34851532719052664,Weak/Random
TITAN.NS,-0.0379074915985752,-0.0012950435731929136,0.029469124372680407,-0.03790749159857517,0.07164725149079655,Weak/Random
MARUTI.NS,0.011682819395807575,-0.029548388601890622,0.004762103790060373,0.011682819395807564,0.5789058710706794,Weak/Random
HINDALCO.NS,-0.035408897650381806,0.031102067261385515,0.011002244631438283,-0.035408897650381785,0.09246350893266808,Weak/Random
DIVISLAB.NS,0.019094402366030813,-0.035297832443272,-0.01127231925807559,0.019094402366030834,0.36445119715201496,Weak/Random
VOLTAS.NS,-0.03269423452401642,0.03124994969887634,0.0023563035905729605,-0.032694234524016444,0.12030910721510371,Weak/Random
PAYTM.NS,0.10988382768450375,0.060718865007938355,-0.0017500297627797174,0.10988382768450378,0.00035155113234327926,Strong Momentum
BAJAJHFL.NS,-0.09370663367965983,-0.047575316803673745,0.05011258707555573,-0.09370663367965983,0.07702448350348205,Mean Reverting
NTPCGREEN.NS,0.0334049064969202,-0.09395567000960496,-0.07724779172173625,0.03340490649692018,0.5591980947739661,Weak/Random
VEDL.NS,-0.005850163525766322,-0.0002258492527477768,0.01533462166988516,-0.005850163525766307,0.7810887066893024,Weak/Random
