symbol,num_uptrends,num_downtrends,avg_uptrend_return,avg_downtrend_return,avg_uptrend_days,trend_quality
SHREECEM.NS,28,28,-1.1090126916881486,3.731960766954199,62.42857142857143,-4.840973458642348
BSE.NS,17,17,42.36281585550104,-0.0014689287213654576,104.70588235294117,42.364284784222406
SHRIRAMFIN.NS,30,30,2.8810855982412495,3.857749142938783,62.333333333333336,-0.9766635446975336
AMBUJACEM.NS,28,27,1.9420789843832733,2.7573238571970937,65.28571428571429,-0.8152448728138204
GAIL.NS,22,21,6.321432324069488,-0.17694032126494855,83.4090909090909,6.498372645334437
DABUR.NS,23,24,-0.2099215037527002,3.6309532819759824,79.17391304347827,-3.8408747857286825
VBL.NS,27,27,6.075849284487333,7.74192349113171,85.74074074074075,-1.6660742066443772
LODHA.NS,10,9,16.315345105467234,0.6264285320574504,99.2,15.688916573409783
BHARTIHEXA.NS,5,4,-0.1376531718396258,7.719736409588116,71.8,-7.857389581427741
POWERGRID.NS,24,25,4.170116902363574,2.738803294408209,81.95833333333333,1.4313136079553654
JIOFIN.NS,5,5,9.15712197633275,-0.25603448703518633,76.2,9.413156463367937
GRASIM.NS,27,27,5.5238842764567915,2.020599671326175,76.44444444444444,3.5032846051306166
IRB.NS,27,27,0.41070530122381427,5.849572108313863,55.03703703703704,-5.438866807090049
EICHERMOT.NS,26,26,3.1330950286652803,2.954113054908392,74.46153846153847,0.1789819737568883
DMART.NS,23,23,6.081165276121845,2.987027593184621,81.52173913043478,3.094137682937224
IRFC.NS,14,14,17.066883670669522,1.3981955497114913,65.14285714285714,15.66868812095803
TVSMOTOR.NS,19,19,14.527500397105912,1.7168895017959558,113.6842105263158,12.810610895309956
KALYANKJIL.NS,13,12,25.422601671540573,1.2575466759439666,80.0,24.165054995596606
JUBLFOOD.NS,18,17,12.696236374583584,1.7856516311806472,105.5,10.910584743402937
BAJAJFINSV.NS,24,23,7.297083919870626,1.6820047647542906,80.5,5.6150791551163355
APOLLOHOSP.NS,29,29,6.091738963319205,4.817820226559766,70.24137931034483,1.2739187367594393
RVNL.NS,20,19,19.563727710749173,1.1659723640043336,71.05,18.39775534674484
ZYDUSLIFE.NS,21,20,4.6352529550563775,1.7765587325815186,84.61904761904762,2.858694222474859
LT.NS,28,28,2.9406192448513164,3.8205004118587,76.39285714285714,-0.8798811670073836
ULTRACEMCO.NS,29,29,0.9048223650971758,3.847061854103827,64.93103448275862,-2.942239489006651
HDFCAMC.NS,15,16,16.475765903093517,0.11952299066612504,103.26666666666667,16.35624291242739
MANKIND.NS,9,8,-1.4516295818440412,6.095092195718854,56.0,-7.546721777562895
SAIL.NS,26,26,5.0702283483513355,2.6414281145589693,66.26923076923077,2.428800233792366
ASIANPAINT.NS,24,23,3.41738096431038,1.8990728378428245,80.375,1.5183081264675555
ADANIENSOL.NS,11,11,-4.134278725525069,7.120144927729456,31.727272727272727,-11.254423653254523
TATAPOWER.NS,24,23,7.5467441177042405,2.7082658454338344,76.375,4.838478272270406
AUBANK.NS,23,23,1.3080667719635306,5.67662968172541,77.21739130434783,-4.368562909761879
BLUESTARCO.NS,27,27,3.444037821787208,5.603487484581873,78.74074074074075,-2.159449662794665
BANKBARODA.NS,24,24,2.692824548826939,2.4796317540841777,74.29166666666667,0.2131927947427612
PFC.NS,26,26,7.696654103544796,4.958576687909915,73.57692307692308,2.7380774156348817
TATASTEEL.NS,19,19,13.878401666645725,1.271176097357526,101.15789473684211,12.6072255692882
PIDILITIND.NS,28,27,2.178982732473831,3.8135141700811777,70.21428571428571,-1.6345314376073468
NTPC.NS,24,25,6.047294433289712,2.1866677320772405,78.0,3.860626701212471
ADANIGREEN.NS,18,17,26.080142736693123,3.9689748350793868,90.27777777777777,22.111167901613737
IRCTC.NS,16,15,9.518325271071928,3.3139285261821434,67.3125,6.2043967448897845
NESTLEIND.NS,28,28,1.3765450957838603,4.8387110925524555,74.96428571428571,-3.4621659967685954
NHPC.NS,26,25,2.940907781062351,3.541670420051683,74.73076923076923,-0.6007626389893321
FEDERALBNK.NS,26,26,2.5360013892056132,2.878977493104839,73.23076923076923,-0.34297610389922584
IREDA.NS,5,4,-0.008551575030130331,-0.9437193705034741,68.8,0.9351677954733437
PNB.NS,22,22,6.402913511905482,-2.2463922694450593,73.77272727272727,8.649305781350542
ATGL.NS,19,18,40.17953815855665,3.6773340138869974,72.73684210526316,36.502204144669655
ALKEM.NS,23,23,3.644470693097869,2.3854705208394655,77.52173913043478,1.2590001722584034
DRREDDY.NS,26,27,-2.3012314333143253,6.366667431970513,69.76923076923077,-8.667898865284839
HDFCBANK.NS,26,25,2.1195651910005298,2.9775923673426505,81.88461538461539,-0.8580271763421208
NMDC.NS,21,21,8.892776631030138,0.1763089979754988,87.0952380952381,8.71646763305464
SBIN.NS,20,20,3.8333034867467446,3.8500180691101513,86.4,-0.016714582363406727
ABCAPITAL.NS,22,22,3.3594017238679537,2.3140389423774117,71.54545454545455,1.045362781490542
BHARATFORG.NS,19,19,7.649957905195982,0.029263038923799625,89.42105263157895,7.620694866272182
TORNTPOWER.NS,26,26,6.287680322911344,6.162046832682074,78.76923076923077,0.12563349022927017
CGPOWER.NS,23,23,22.32481574025832,3.724621080326316,84.3913043478261,18.600194659932004
ICICIBANK.NS,25,25,4.848098938583301,3.4758034422264523,83.28,1.3722954963568488
ETERNAL.NS,10,9,18.559150836655746,2.966516768734695,100.5,15.59263406792105
SWIGGY.NS,2,2,6.557315836895836,-15.287556113963312,70.0,21.844871950859147
MAXHEALTH.NS,15,15,14.850149855727603,7.113473929347527,90.66666666666667,7.736675926380076
